"PreyTaxa","POO","RRA","wPOO","Species","reads"
"Aplodontia rufa",0.628930817610063,1.03092783505155,1.03092783505155,"Bobcat",4535
"Callospermophilus lateralis",23.2704402515723,24.6907216494845,24.3127147766323,"Bobcat",1367091
"Canis latrans",0.628930817610063,0.515463917525773,0.343642611683849,"Bobcat",10826
"Chordeiles acutipennis",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",8053
"Colaptes auratus",0.628930817610063,0.343642611683849,0.343642611683849,"Bobcat",10808
"Cyanocitta stelleri",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",52112
"Dendragapus fuliginosus",1.25786163522013,1.54639175257732,1.54639175257732,"Bobcat",140508
"Glaucomys sabrinus",1.25786163522013,1.54639175257732,1.54639175257732,"Bobcat",60007
"Junco hyemalis",0.628930817610063,0.343642611683849,0.343642611683849,"Bobcat",79331
"Lepus americanus",1.25786163522013,1.28865979381443,1.28865979381443,"Bobcat",11053
"Lepus townsendii",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",5531
"Leuconotopicus albolarvatus",0.628930817610063,0.0644329896907216,0.515463917525773,"Bobcat",157117
"Marmota flaviventris",15.0943396226415,17.7835051546392,17.5257731958763,"Bobcat",1244228
"Mergus sp.",0.628930817610063,0.343642611683849,0.515463917525773,"Bobcat",11556
"Microtus longicaudus",5.66037735849057,3.98625429553265,4.12371134020619,"Bobcat",195074
"Neogale frenata",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",27261
"Neotoma cinerea",1.25786163522013,0.859106529209622,1.03092783505155,"Bobcat",67953
"Neotoma macrotis",1.25786163522013,0.77319587628866,0.859106529209622,"Bobcat",16208
"Ochotona princeps",3.77358490566038,4.50171821305842,4.38144329896907,"Bobcat",167601
"Odocoileus sp.",2.51572327044025,2.92096219931271,3.09278350515464,"Bobcat",66032
"Oreortyx pictus",1.88679245283019,1.82560137457045,1.3745704467354,"Bobcat",2377813
"Peromyscus sp.",5.66037735849057,4.553264604811,4.81099656357388,"Bobcat",200574
"Pipilo maculatus",0.628930817610063,0.257731958762887,0.515463917525773,"Bobcat",50321
"Sciurus griseus",1.25786163522013,1.03092783505155,0.859106529209622,"Bobcat",109976
"Tamias amoenus",6.91823899371069,5.446735395189,5.75601374570447,"Bobcat",371702
"Tamias sp.",3.77358490566038,3.09278350515464,3.95189003436426,"Bobcat",507063
"Tamiasciurus douglasii",16.3522012578616,18.8487972508591,17.5257731958763,"Bobcat",2430578
"Turdus sp.",0.628930817610063,0.343642611683849,0.343642611683849,"Bobcat",36576
"Callospermophilus lateralis",4.80769230769231,4.33333333333333,4.5,"Cougar",110728
"Canis latrans",0.961538461538462,1,1,"Cougar",3050
"Dendragapus fuliginosus",0.961538461538462,0.333333333333333,0.5,"Cougar",8143
"Erethizon dorsatum",3.84615384615385,4,4,"Cougar",220183
"Lepus americanus",1.92307692307692,1.5,1.5,"Cougar",11087
"Lepus townsendii",1.92307692307692,2,2,"Cougar",38131
"Marmota flaviventris",1.92307692307692,2,2,"Cougar",305250
"Odocoileus sp.",75.9615384615385,78.3333333333333,78,"Cougar",5304998
"Sciurus griseus",0.961538461538462,0.5,0.5,"Cougar",54780
"Tamias amoenus",0.961538461538462,0.5,0.5,"Cougar",8151
"Urocyon cinereoargenteus",1.92307692307692,1.5,1.5,"Cougar",88648
"Ursus americanus",3.84615384615385,4,4,"Cougar",89399
"Aplodontia rufa",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",1908
"Asio otus",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",416
"Callospermophilus lateralis",3.23846908734053,3.04883831199621,2.88051209103841,"Coyote",1394898
"Castor canadensis",0.098135426889107,0.0355618776671408,0.0355618776671408,"Coyote",2392
"Colaptes auratus",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",19786
"Cyanocitta stelleri",0.294406280667321,0.213371266002845,0.213371266002845,"Coyote",99178
"Dendragapus fuliginosus",1.86457311089303,1.84921763869132,1.93219535324798,"Coyote",1261288
"Eremophila alpestris",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",14755
"Erethizon dorsatum",0.196270853778214,0.213371266002845,0.213371266002845,"Coyote",3152
"Gallus gallus",0.490677134445535,0.403034613560929,0.403034613560929,"Coyote",148428
"Junco hyemalis",2.15897939156035,1.55049786628734,1.70697012802276,"Coyote",696483
"Lagopus leucura",0.294406280667321,0.165955429113324,0.213371266002845,"Coyote",105066
"Lepus americanus",0.588812561334642,0.512091038406828,0.497866287339972,"Coyote",135294
"Lepus sp.",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",18999
"Lepus townsendii",2.74779195289499,2.88525367472736,2.90422000948317,"Coyote",421155
"Lynx rufus",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",7343
"Marmota flaviventris",34.6418056918548,40.8795637743006,40.5523944997629,"Coyote",13266904
"Martes caurina",0.392541707556428,0.367472735893788,0.320056899004267,"Coyote",172084
"Microtus longicaudus",5.6918547595682,4.02797534376482,4.39781887150308,"Coyote",1166412
"Microtus montanus",3.92541707556428,3.18160265528687,2.96348980559507,"Coyote",1640629
"Microtus sp.",1.76643768400393,1.07396870554765,1.18539592223803,"Coyote",465537
"Neogale frenata",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",33920
"Neogale vison",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",87046
"Neotoma cinerea",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",17394
"Ochotona princeps",1.76643768400393,1.60028449502134,1.55286865813182,"Coyote",298581
"Odocoileus sp.",18.9401373895976,21.9013750592698,21.2067330488383,"Coyote",11732244
"Oncorhynchus sp.",2.35525024533857,2.28781412991939,2.28781412991939,"Coyote",847623
"Oreortyx pictus",0.490677134445535,0.237079184447605,0.308202939781887,"Coyote",84230
"Peromyscus sp.",2.15897939156035,1.32764343290659,1.39876718824087,"Coyote",314618
"Phenacomys intermedius",0.098135426889107,0.0474158368895211,0.0474158368895211,"Coyote",24924
"Pipilo maculatus",0.490677134445535,0.355618776671408,0.331910858226648,"Coyote",375871
"Poecile atricapillus",0.098135426889107,0.0284495021337127,0.0711237553342817,"Coyote",44669
"Pseudacris sierra",0.294406280667321,0.189663347558084,0.189663347558084,"Coyote",9980
"Puma concolor",0.098135426889107,0.0474158368895211,0.0711237553342817,"Coyote",15514
"Rana muscosa",0.785083415112856,0.782361308677098,0.806069227121859,"Coyote",675404
"Salvelinus sp.",4.41609421000981,2.94215267899478,3.34281650071124,"Coyote",1250907
"Sayornis phoebe",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",88832
"Scapanus latimanus",0.98135426889107,0.924608819345662,0.924608819345662,"Coyote",190227
"Sitta sp.",0.196270853778214,0.0829777145566619,0.118539592223803,"Coyote",119325
"Sus scrofa",0.196270853778214,0.0995732574679943,0.118539592223803,"Coyote",8768
"Tamias amoenus",1.66830225711482,1.21621621621622,1.24466571834993,"Coyote",378608
"Tamias sp.",0.294406280667321,0.165955429113324,0.189663347558084,"Coyote",109166
"Tamiasciurus douglasii",0.294406280667321,0.196775723091513,0.165955429113324,"Coyote",71929
"Thomomys sp.",0.588812561334642,0.474158368895211,0.486012328117591,"Coyote",12533
"Turdus sp.",0.294406280667321,0.0995732574679943,0.154101469890944,"Coyote",126516
"Urocitellus beldingi",3.63101079489696,3.06780464675202,3.09388335704125,"Coyote",834066
"Ursus americanus",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",5726
"Vulpes vulpes",0.392541707556428,0.308202939781887,0.260787102892366,"Coyote",39852
"Callospermophilus lateralis",8.06451612903226,9.41860465116279,8.72093023255814,"Grayfox",496447
"Equus caballus",1.61290322580645,2.32558139534884,2.32558139534884,"Grayfox",1201
"Glaucomys sabrinus",4.83870967741935,4.65116279069767,4.65116279069767,"Grayfox",64004
"Junco hyemalis",4.83870967741935,4.26356589147287,4.65116279069767,"Grayfox",49416
"Microtus longicaudus",4.83870967741935,6.2015503875969,5.81395348837209,"Grayfox",76884
"Oreortyx pictus",8.06451612903226,9.30232558139535,9.30232558139535,"Grayfox",170228
"Peromyscus boylii",3.2258064516129,3.48837209302326,3.48837209302326,"Grayfox",32714
"Peromyscus sp.",37.0967741935484,36.7829457364341,38.5658914728682,"Grayfox",1242539
"Pipilo maculatus",6.45161290322581,5.81395348837209,5.81395348837209,"Grayfox",62123
"Plestiodon gilberti",1.61290322580645,0.581395348837209,0.581395348837209,"Grayfox",5923
"Sphyrapicus varius",1.61290322580645,1.16279069767442,1.16279069767442,"Grayfox",44263
"Tamias sp.",8.06451612903226,7.75193798449612,7.75193798449612,"Grayfox",183758
"Tamiasciurus douglasii",4.83870967741935,4.18604651162791,3.10077519379845,"Grayfox",339006
"Taricha granulosa",1.61290322580645,0.581395348837209,0.581395348837209,"Grayfox",5923
"Thomomys sp.",1.61290322580645,1.16279069767442,1.16279069767442,"Grayfox",9384
"Vulpes vulpes",1.61290322580645,2.32558139534884,2.32558139534884,"Grayfox",640
"Callospermophilus lateralis",8.7719298245614,10.3703703703704,10.2469135802469,"Marten",835270
"Canis latrans",0.584795321637427,0.37037037037037,0.37037037037037,"Marten",43144
"Catharus fuscescens",1.16959064327485,0.987654320987654,0.987654320987654,"Marten",53923
"Cyanocitta stelleri",1.16959064327485,0.555555555555556,0.740740740740741,"Marten",101115
"Dendragapus fuliginosus",1.75438596491228,2.22222222222222,2.22222222222222,"Marten",290251
"Glaucomys sabrinus",0.584795321637427,0.37037037037037,0.37037037037037,"Marten",38462
"Junco hyemalis",4.67836257309941,3.82716049382716,3.95061728395062,"Marten",332209
"Marmota flaviventris",4.09356725146199,4.44444444444444,4.07407407407407,"Marten",273610
"Microtus longicaudus",19.8830409356725,18.5288065843621,18.5185185185185,"Marten",1620246
"Microtus montanus",1.16959064327485,0.740740740740741,0.740740740740741,"Marten",36994
"Microtus sp.",1.75438596491228,1.51234567901235,0.987654320987654,"Marten",470264
"Myadestes townsendi",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",7918
"Neotoma cinerea",5.26315789473684,5.92592592592593,5.92592592592593,"Marten",161969
"Ochotona princeps",1.75438596491228,1.97530864197531,1.85185185185185,"Marten",346010
"Odocoileus sp.",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",421
"Oncorhynchus sp.",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",6168
"Oreortyx pictus",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",42282
"Peromyscus boylii",1.16959064327485,1.11111111111111,1.11111111111111,"Marten",13489
"Peromyscus sp.",19.2982456140351,16.9958847736625,17.9012345679012,"Marten",700021
"Phainopepla nitens",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",20386
"Phenacomys intermedius",2.33918128654971,2.22222222222222,2.22222222222222,"Marten",183319
"Pipilo maculatus",1.16959064327485,1.11111111111111,1.11111111111111,"Marten",69147
"Pseudacris sierra",1.16959064327485,0.987654320987654,1.11111111111111,"Marten",58629
"Salvelinus sp.",1.16959064327485,0.987654320987654,1.11111111111111,"Marten",39277
"Sayornis phoebe",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",50013
"Scapanus latimanus",2.33918128654971,2.59259259259259,2.59259259259259,"Marten",94415
"Tamias amoenus",7.60233918128655,8.95061728395062,8.51851851851852,"Marten",933060
"Tamiasciurus douglasii",4.67836257309941,5.06172839506173,5.18518518518519,"Marten",375735
"Thomomys sp.",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",5445
"Turdus sp.",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",31750
